"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Vendor","Digikey Part Number"
"C1","1","1uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://yageogroup.com/content/datasheet/asset/file/KEM_A4004_ESK","digikey","399-6596-ND"
"H1","1","MountingHole_Pad","","","","MountingHole:MountingHole_3.5mm_Pad","~","",""
"J1","1","Conn_02x13_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","https://www.waldom.com/upload/parts/datasheets/mf-fci/fci-67997-226hlf.pdf","digikey","609-3240-ND"
"J2","1","Screw_Terminal_01x10","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-10-5.0-H_1x10_P5.00mm_Horizontal","https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1935857","digikey","277-9080-ND"
"J3","1","AudioJack3","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles","https://www.cuidevices.com/product/resource/digikeypdf/sj1-353xng.pdf","digikey","CP1-3533NG-ND"
"J4","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","digikey","609-3234-ND"
"JP1,JP3","2","SolderJumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","",""
"JP2","1","SolderJumper_3_Open","","","","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","",""
"R1,R2","2","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.seielect.com/catalog/sei-cf_cfm.pdf","digikey","CF14JT220RCT-ND"
"R3","1","2.2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","https://www.seielect.com/catalog/sei-cf_cfm.pdf","digikey","CF14JT2K20CT-ND"
